Nom,Pays,Sexe,Distance,Taille,Poids,IMC,Temps,Vitesse
Ryan Lochte,USA,Homme,100,188,84,23.76641014,50.54,7.123070835
Michele Santucci,ITA,Homme,100,187,78,22.30547056,50.58,7.117437722
Cullen Jones,USA,Homme,100,195,90,23.66863905,50.63,7.110408849
Evan Van Moerkerke,CAN,Homme,100,200,100,25,50.72,7.097791798
Tengfei Shi,CHN,Homme,100,190,82,22.71468144,50.77,7.090801655
Travis Mahoney,AUS,Homme,100,191,82,22.47745402,50.84,7.081038552
Geoff Cheah,HKG,Homme,100,186,67,19.36640074,50.95,7.065750736
Robert Bale,GBR,Homme,100,174,69,22.79032897,50.97,7.062978222
Jason Dunford,KEN,Homme,100,180,72,22.22222222,51.01,7.057439718
Louis Croenen,BEL,Homme,100,184,76,22.44801512,51.1,7.045009785
Nick Thoman,USA,Homme,100,185,84,24.54346238,51.11,7.043631383
Markus Deibler,GER,Homme,100,196,92,23.94835485,51.12,7.042253521
Andrea Rolla,ITA,Homme,100,193,80,21.47708663,51.14,7.039499413
Eugene Godsoe,USA,Homme,100,188,77,21.78587596,51.23,7.02713254
Mario Todorovic,CRO,Homme,100,188,82,23.20054323,51.26,7.023019899
Krisztian Takacs,HUN,Homme,100,185,78,22.79035793,51.26,7.023019899
Ari-Pekka Liukkonen,FIN,Homme,100,208,91,21.03365385,51.27,7.021650088
Jarrod Killey,AUS,Homme,100,183,75,22.39541342,51.29,7.018912069
Dan Lester,AUS,Homme,100,185,75,21.9138057,51.29,7.018912069
Cameron McEvoy,AUS,Homme,200,182,70,21.13271344,105.46,6.827233074
Thomas Fraser-Holmes,AUS,Homme,200,194,82,21.78765012,105.58,6.819473385
Yannick Agnel,FRA,Homme,200,202,90,22.05666111,105.63,6.816245385
Kosuke Hagino,JPN,Homme,200,177,70,22.34351559,105.89,6.799508924
Tae Hwan Park,KOR,Homme,200,183,58,17.31911971,106.05,6.789250354
David McKeon,AUS,Homme,200,195,85,22.35371466,106.37,6.768825797
Velimir Stjepanovic,SRB,Homme,200,183,74,22.09680791,106.87,6.737157294
Takeshi Matsuda,JPN,Homme,200,184,85,25.1063327,106.98,6.73022995
Paul Biedermann,GER,Homme,200,189,85,23.79552644,107.13,6.720806497
Ned McKendry,AUS,Homme,200,188,85,24.04934359,107.16,6.718924972
Sebastiaan Verschuren,NED,Homme,200,191,82,22.47745402,107.21,6.715791437
Yuki Kobori,JPN,Homme,200,184,72,21.26654064,107.27,6.712035052
Nikita Lobintsev,RUS,Homme,200,193,83,22.28247738,107.46,6.700167504
James Guy,GBR,Homme,200,186,73,21.10070528,107.54,6.695183188
Filippo Magnini,ITA,Homme,200,186,75,21.6788068,107.58,6.692693809
Robbie Renwick,GBR,Homme,200,185,80,23.37472608,107.6,6.691449814
